,B1,B2,corr
0,B Delfstoffenwinning,B Delfstoffenwinning,2174945.0
0,B Delfstoffenwinning,06 Winning van aardolie en aardgas,2183281.0
0,B Delfstoffenwinning,08 Delfstoffenwinning (geen olie en gas),2299652.0
0,B Delfstoffenwinning,C Industrie,2339736.0
0,B Delfstoffenwinning,10 Voedingsmiddelenindustrie,2474620.0
0,B Delfstoffenwinning,"10-12 Voedings-, genotmiddelenindustrie",1486291.0
0,B Delfstoffenwinning,101 Slachterijen en vleeswarenindustrie,1545202.0
0,B Delfstoffenwinning,1011 Slachterijen (geen pluimvee),1574989.0
0,B Delfstoffenwinning,1012 Pluimveeslachterijen,1475510.0
0,B Delfstoffenwinning,1013 Vleesverwerkende industrie,1505941.0
0,B Delfstoffenwinning,102 Visverwerkende industrie,1452418.0
0,B Delfstoffenwinning,"103 Groente-, fruitverwerkende industrie",1529317.0
0,B Delfstoffenwinning,1031 Aardappelproductenindustrie,1562924.0
0,B Delfstoffenwinning,1032 Fruit- en groentesappenindustrie,1554345.0
0,B Delfstoffenwinning,"1039 Groente-,fruitverwerkende industrie",1469622.0
0,B Delfstoffenwinning,104 Spijsolien- en -vettenindustrie e.d.,1451062.0
0,B Delfstoffenwinning,1041 Spijsolien- en -vettenindustrie,1450984.0
0,B Delfstoffenwinning,105 Zuivelindustrie,1450484.0
0,B Delfstoffenwinning,1051 Zuivelindustrie (geen ijs),1450205.0
0,B Delfstoffenwinning,106 Meelindustrie,1592411.0
0,B Delfstoffenwinning,1061 Meelindustrie (geen zetmeel),1521671.0
0,B Delfstoffenwinning,107 Brood- en deegwarenindustrie,1465388.0
0,B Delfstoffenwinning,1071 Brood- en banketbakkerijen,1457303.0
0,B Delfstoffenwinning,108 Overige voedingsmiddelenindustrie,1447406.0
0,B Delfstoffenwinning,1081 Suikerindustrie,0.0
0,B Delfstoffenwinning,1082 Cacao- en chocoladewerkindustrie,1360272.0
0,B Delfstoffenwinning,109 Diervoederindustrie,1556902.0
0,B Delfstoffenwinning,11 Drankenindustrie,2311669.0
0,B Delfstoffenwinning,1102 Wijnindustrie (uit druiven),0.0
0,B Delfstoffenwinning,1107 Frisdrankindustrie,1450027.0
0,B Delfstoffenwinning,12 Tabaksindustrie,2257725.0
0,B Delfstoffenwinning,13 Textielindustrie,2530989.0
0,B Delfstoffenwinning,"13-15 Textiel-, kleding-, lederindustrie",1470303.0
0,B Delfstoffenwinning,14 Kledingindustrie,2448218.0
0,B Delfstoffenwinning,15 Leer- en schoenenindustrie,2531158.0
0,B Delfstoffenwinning,16 Houtindustrie,2283659.0
0,B Delfstoffenwinning,16+23 Hout- en bouwmaterialenindustrie,1429611.0
0,B Delfstoffenwinning,17 Papierindustrie,2525593.0
0,B Delfstoffenwinning,17-18 Papier- en grafische industrie,1438851.0
0,B Delfstoffenwinning,18 Grafische industrie,2638848.0
0,B Delfstoffenwinning,19 Aardolie-industrie,1972410.0
0,B Delfstoffenwinning,19-22 Raffinaderijen en chemie,1495098.0
0,B Delfstoffenwinning,20 Chemische industrie,2315708.0
0,B Delfstoffenwinning,20-21 Chemie en farmaceutische industrie,1494922.0
0,B Delfstoffenwinning,21 Farmaceutische industrie,2555656.0
0,B Delfstoffenwinning,22 Rubber- en kunststofproductindustrie,2408868.0
0,B Delfstoffenwinning,23 Bouwmaterialenindustrie,2342072.0
0,B Delfstoffenwinning,24 Basismetaalindustrie,2189474.0
0,B Delfstoffenwinning,"24-25 Basismetaal, metaalprod.-industrie",1431010.0
0,B Delfstoffenwinning,"24-30, 33 Metalektro",1437800.0
0,B Delfstoffenwinning,25 Metaalproductenindustrie,2312321.0
0,B Delfstoffenwinning,26 Elektrotechnische industrie,2541482.0
0,B Delfstoffenwinning,26-28 Elektrotechn. en machine-industrie,1439398.0
0,B Delfstoffenwinning,26-27 Elektrische en elektron. Industrie,1428424.0
0,B Delfstoffenwinning,27 Elektrische apparatenindustrie,2459342.0
0,B Delfstoffenwinning,28 Machine-industrie,2397561.0
0,B Delfstoffenwinning,29 Auto- en aanhangwagenindustrie,2383032.0
0,B Delfstoffenwinning,29-30 Transportmiddelenindustrie,1444011.0
0,B Delfstoffenwinning,30 Overige transportmiddelenindustrie,2338091.0
0,B Delfstoffenwinning,31 Meubelindustrie,2281544.0
0,B Delfstoffenwinning,32 Overige industrie,2522764.0
0,B Delfstoffenwinning,33 Reparatie en installatie van machines,930363.0
0,B Delfstoffenwinning,D Energievoorziening,2302915.0
0,B Delfstoffenwinning,35 Energiebedrijven,2330523.0
0,B Delfstoffenwinning,E Waterbedrijven en afvalbeheer,2222995.0
0,B Delfstoffenwinning,36 Waterleidingbedrijven,2222729.0
0,B Delfstoffenwinning,24-28 Metalektro (geen transport),1435307.0
0,06 Winning van aardolie en aardgas,B Delfstoffenwinning,2183281.0
0,06 Winning van aardolie en aardgas,06 Winning van aardolie en aardgas,2193745.0
0,06 Winning van aardolie en aardgas,08 Delfstoffenwinning (geen olie en gas),2300076.0
0,06 Winning van aardolie en aardgas,C Industrie,2342612.0
0,06 Winning van aardolie en aardgas,10 Voedingsmiddelenindustrie,2478613.0
