,B1,B2,corr
0,B Delfstoffenwinning,B Delfstoffenwinning,1.0
0,B Delfstoffenwinning,06 Winning van aardolie en aardgas,0.9977496779170673
0,B Delfstoffenwinning,08 Delfstoffenwinning (geen olie en gas),0.8938938570071198
0,B Delfstoffenwinning,C Industrie,0.9443362383433963
0,B Delfstoffenwinning,10 Voedingsmiddelenindustrie,0.8905411173405816
0,B Delfstoffenwinning,"10-12 Voedings-, genotmiddelenindustrie",0.5287713056225958
0,B Delfstoffenwinning,101 Slachterijen en vleeswarenindustrie,0.529535886395598
0,B Delfstoffenwinning,1011 Slachterijen (geen pluimvee),0.521328127092577
0,B Delfstoffenwinning,1012 Pluimveeslachterijen,0.6005781816195648
0,B Delfstoffenwinning,1013 Vleesverwerkende industrie,0.46280884952947476
0,B Delfstoffenwinning,102 Visverwerkende industrie,0.24890669999061357
0,B Delfstoffenwinning,"103 Groente-, fruitverwerkende industrie",0.4496289810020249
0,B Delfstoffenwinning,1031 Aardappelproductenindustrie,0.30836718736744606
0,B Delfstoffenwinning,1032 Fruit- en groentesappenindustrie,0.5881221550685296
0,B Delfstoffenwinning,"1039 Groente-,fruitverwerkende industrie",0.4134096282400447
0,B Delfstoffenwinning,104 Spijsoliën- en -vettenindustrie e.d.,0.5786437483056247
0,B Delfstoffenwinning,1041 Spijsoliën- en -vettenindustrie,0.5846952405101795
0,B Delfstoffenwinning,105 Zuivelindustrie,0.5642284547944002
0,B Delfstoffenwinning,1051 Zuivelindustrie (geen ijs),0.5644967214464862
0,B Delfstoffenwinning,106 Meelindustrie,0.7087397545092607
0,B Delfstoffenwinning,1061 Meelindustrie (geen zetmeel),0.6984272333896662
0,B Delfstoffenwinning,107 Brood- en deegwarenindustrie,0.30787173417553637
0,B Delfstoffenwinning,1071 Brood- en banketbakkerijen,0.27072807754371286
0,B Delfstoffenwinning,108 Overige voedingsmiddelenindustrie,0.3060164016414397
0,B Delfstoffenwinning,1081 Suikerindustrie,0.0
0,B Delfstoffenwinning,1082 Cacao- en chocoladewerkindustrie,0.007558678409939307
0,B Delfstoffenwinning,109 Diervoederindustrie,0.6404481541521533
0,B Delfstoffenwinning,11 Drankenindustrie,0.7726152145794567
0,B Delfstoffenwinning,1102 Wijnindustrie (uit druiven),0.0
0,B Delfstoffenwinning,1107 Frisdrankindustrie,0.47622089357359365
0,B Delfstoffenwinning,12 Tabaksindustrie,0.7861811447273802
0,B Delfstoffenwinning,13 Textielindustrie,0.7440049933809654
0,B Delfstoffenwinning,"13-15 Textiel-, kleding-, lederindustrie",0.27414073596369426
0,B Delfstoffenwinning,14 Kledingindustrie,0.6497291592446073
0,B Delfstoffenwinning,15 Leer- en schoenenindustrie,0.7372629017594161
0,B Delfstoffenwinning,16 Houtindustrie,0.7921164593065139
0,B Delfstoffenwinning,16+23 Hout- en bouwmaterialenindustrie,0.42582257810105706
0,B Delfstoffenwinning,17 Papierindustrie,0.6657443754740038
0,B Delfstoffenwinning,17-18 Papier- en grafische industrie,0.627681715609197
0,B Delfstoffenwinning,18 Grafische industrie,-0.20545168505331188
0,B Delfstoffenwinning,19 Aardolie-industrie,0.9548318658265065
0,B Delfstoffenwinning,19-22 Raffinaderijen en chemie,0.787586947782049
0,B Delfstoffenwinning,20 Chemische industrie,0.954726123797078
0,B Delfstoffenwinning,20-21 Chemie en farmaceutische industrie,0.7942521605609612
0,B Delfstoffenwinning,21 Farmaceutische industrie,0.5838491031437539
0,B Delfstoffenwinning,22 Rubber- en kunststofproductindustrie,0.8247282875285779
0,B Delfstoffenwinning,23 Bouwmaterialenindustrie,0.7583713269876695
0,B Delfstoffenwinning,24 Basismetaalindustrie,0.913176887060109
0,B Delfstoffenwinning,"24-25 Basismetaal, metaalprod.-industrie",0.7546474332514633
0,B Delfstoffenwinning,"24-30, 33 Metalektro",0.5294431165040052
0,B Delfstoffenwinning,25 Metaalproductenindustrie,0.8005746058051803
0,B Delfstoffenwinning,26 Elektrotechnische industrie,0.5334549542632008
0,B Delfstoffenwinning,26-28 Elektrotechn. en machine-industrie,0.2391373742424152
0,B Delfstoffenwinning,26-27 Elektrische en elektron. Industrie,0.24389279442877207
0,B Delfstoffenwinning,27 Elektrische apparatenindustrie,0.7838318305309324
0,B Delfstoffenwinning,28 Machine-industrie,0.69879792707613
0,B Delfstoffenwinning,29 Auto- en aanhangwagenindustrie,0.6895078639920562
0,B Delfstoffenwinning,29-30 Transportmiddelenindustrie,0.3796130757948132
0,B Delfstoffenwinning,30 Overige transportmiddelenindustrie,0.6648373210393241
0,B Delfstoffenwinning,31 Meubelindustrie,0.76489141047557
0,B Delfstoffenwinning,32 Overige industrie,0.33599190578367716
0,B Delfstoffenwinning,33 Reparatie en installatie van machines,-0.5293880443099374
0,B Delfstoffenwinning,D Energievoorziening,0.8308042788730645
0,B Delfstoffenwinning,35 Energiebedrijven,0.8579865190603404
0,B Delfstoffenwinning,E Waterbedrijven en afvalbeheer,0.6498845175882566
0,B Delfstoffenwinning,36 Waterleidingbedrijven,0.6503036357285454
0,B Delfstoffenwinning,24-28 Metalektro (geen transport),0.5665159189826892
0,06 Winning van aardolie en aardgas,B Delfstoffenwinning,0.9977496779170673
0,06 Winning van aardolie en aardgas,06 Winning van aardolie en aardgas,1.0
0,06 Winning van aardolie en aardgas,08 Delfstoffenwinning (geen olie en gas),0.8725546316292535
0,06 Winning van aardolie en aardgas,C Industrie,0.931434938029414
0,06 Winning van aardolie en aardgas,10 Voedingsmiddelenindustrie,0.8848644823399254
0,06 Winning van aardolie en aardgas,"10-12 Voedings-, genotmiddelenindustrie",0.5166532282541549
0,06 Winning van aardolie en aardgas,101 Slachterijen en vleeswarenindustrie,0.5180760877852106
0,06 Winning van aardolie en aardgas,1011 Slachterijen (geen pluimvee),0.5102573394732683
0,06 Winning van aardolie en aardgas,1012 Pluimveeslachterijen,0.5910441273682493
0,06 Winning van aardolie en aardgas,1013 Vleesverwerkende industrie,0.4498432740700407
0,06 Winning van aardolie en aardgas,102 Visverwerkende industrie,0.2344122909098811
0,06 Winning van aardolie en aardgas,"103 Groente-, fruitverwerkende industrie",0.4393389381071397
0,06 Winning van aardolie en aardgas,1031 Aardappelproductenindustrie,0.30230048972379175
0,06 Winning van aardolie en aardgas,1032 Fruit- en groentesappenindustrie,0.5780568171483228
0,06 Winning van aardolie en aardgas,"1039 Groente-,fruitverwerkende industrie",0.39920996796366875
0,06 Winning van aardolie en aardgas,104 Spijsoliën- en -vettenindustrie e.d.,0.566378493267024
0,06 Winning van aardolie en aardgas,1041 Spijsoliën- en -vettenindustrie,0.5727741151255616
0,06 Winning van aardolie en aardgas,105 Zuivelindustrie,0.5577271201733282
0,06 Winning van aardolie en aardgas,1051 Zuivelindustrie (geen ijs),0.5580370691309708
0,06 Winning van aardolie en aardgas,106 Meelindustrie,0.6979937644583616
0,06 Winning van aardolie en aardgas,1061 Meelindustrie (geen zetmeel),0.6915455481536326
0,06 Winning van aardolie en aardgas,107 Brood- en deegwarenindustrie,0.29258057503992546
0,06 Winning van aardolie en aardgas,1071 Brood- en banketbakkerijen,0.25486495243550433
0,06 Winning van aardolie en aardgas,108 Overige voedingsmiddelenindustrie,0.29073377516320303
0,06 Winning van aardolie en aardgas,1081 Suikerindustrie,0.0
0,06 Winning van aardolie en aardgas,1082 Cacao- en chocoladewerkindustrie,-0.008875393330097474
0,06 Winning van aardolie en aardgas,109 Diervoederindustrie,0.6311942362293703
0,06 Winning van aardolie en aardgas,11 Drankenindustrie,0.7447163365607212
0,06 Winning van aardolie en aardgas,1102 Wijnindustrie (uit druiven),0.0
0,06 Winning van aardolie en aardgas,1107 Frisdrankindustrie,0.4626828892161632
0,06 Winning van aardolie en aardgas,12 Tabaksindustrie,0.7606764733250682
0,06 Winning van aardolie en aardgas,13 Textielindustrie,0.7193482737636739
0,06 Winning van aardolie en aardgas,"13-15 Textiel-, kleding-, lederindustrie",0.2601224085485189
0,06 Winning van aardolie en aardgas,14 Kledingindustrie,0.616209236340769
0,06 Winning van aardolie en aardgas,15 Leer- en schoenenindustrie,0.7090088063713631
0,06 Winning van aardolie en aardgas,16 Houtindustrie,0.763799935741245
0,06 Winning van aardolie en aardgas,16+23 Hout- en bouwmaterialenindustrie,0.41098215587832915
0,06 Winning van aardolie en aardgas,17 Papierindustrie,0.6412766304730644
0,06 Winning van aardolie en aardgas,17-18 Papier- en grafische industrie,0.6337828592167831
0,06 Winning van aardolie en aardgas,18 Grafische industrie,-0.2333757075318556
0,06 Winning van aardolie en aardgas,19 Aardolie-industrie,0.9480413923781595
0,06 Winning van aardolie en aardgas,19-22 Raffinaderijen en chemie,0.7865965234686747
0,06 Winning van aardolie en aardgas,20 Chemische industrie,0.9476663930304601
0,06 Winning van aardolie en aardgas,20-21 Chemie en farmaceutische industrie,0.7913965145723362
0,06 Winning van aardolie en aardgas,21 Farmaceutische industrie,0.5511555113664536
0,06 Winning van aardolie en aardgas,22 Rubber- en kunststofproductindustrie,0.800086407067
0,06 Winning van aardolie en aardgas,23 Bouwmaterialenindustrie,0.7291986801925601
0,06 Winning van aardolie en aardgas,24 Basismetaalindustrie,0.8969803333390369
0,06 Winning van aardolie en aardgas,"24-25 Basismetaal, metaalprod.-industrie",0.7450122805054665
0,06 Winning van aardolie en aardgas,"24-30, 33 Metalektro",0.5157507968750883
0,06 Winning van aardolie en aardgas,25 Metaalproductenindustrie,0.7723701632216433
0,06 Winning van aardolie en aardgas,26 Elektrotechnische industrie,0.5129559412193433
0,06 Winning van aardolie en aardgas,26-28 Elektrotechn. en machine-industrie,0.2252016736989078
0,06 Winning van aardolie en aardgas,26-27 Elektrische en elektron. Industrie,0.22963913698265562
0,06 Winning van aardolie en aardgas,27 Elektrische apparatenindustrie,0.7583894353212807
0,06 Winning van aardolie en aardgas,28 Machine-industrie,0.6666464924621898
0,06 Winning van aardolie en aardgas,29 Auto- en aanhangwagenindustrie,0.6562047570305333
0,06 Winning van aardolie en aardgas,29-30 Transportmiddelenindustrie,0.365378194040357
0,06 Winning van aardolie en aardgas,30 Overige transportmiddelenindustrie,0.6312306566573672
0,06 Winning van aardolie en aardgas,31 Meubelindustrie,0.7355016606001421
0,06 Winning van aardolie en aardgas,32 Overige industrie,0.295615184089581
0,06 Winning van aardolie en aardgas,33 Reparatie en installatie van machines,-0.5364585025461936
0,06 Winning van aardolie en aardgas,D Energievoorziening,0.8497816490119182
0,06 Winning van aardolie en aardgas,35 Energiebedrijven,0.8747051945536866
0,06 Winning van aardolie en aardgas,E Waterbedrijven en afvalbeheer,0.6303214469003163
0,06 Winning van aardolie en aardgas,36 Waterleidingbedrijven,0.6307568561625702
0,06 Winning van aardolie en aardgas,24-28 Metalektro (geen transport),0.5532471122517977
0,08 Delfstoffenwinning (geen olie en gas),B Delfstoffenwinning,0.8938938570071198
0,08 Delfstoffenwinning (geen olie en gas),06 Winning van aardolie en aardgas,0.8725546316292535
0,08 Delfstoffenwinning (geen olie en gas),08 Delfstoffenwinning (geen olie en gas),1.0
0,08 Delfstoffenwinning (geen olie en gas),C Industrie,0.9509422023092308
0,08 Delfstoffenwinning (geen olie en gas),10 Voedingsmiddelenindustrie,0.8852714272887235
0,08 Delfstoffenwinning (geen olie en gas),"10-12 Voedings-, genotmiddelenindustrie",0.7516408649111238
0,08 Delfstoffenwinning (geen olie en gas),101 Slachterijen en vleeswarenindustrie,0.712907075992204
0,08 Delfstoffenwinning (geen olie en gas),1011 Slachterijen (geen pluimvee),0.6899612458351679
0,08 Delfstoffenwinning (geen olie en gas),1012 Pluimveeslachterijen,0.7668704906361968
0,08 Delfstoffenwinning (geen olie en gas),1013 Vleesverwerkende industrie,0.7039991127319791
0,08 Delfstoffenwinning (geen olie en gas),102 Visverwerkende industrie,0.558144357244042
0,08 Delfstoffenwinning (geen olie en gas),"103 Groente-, fruitverwerkende industrie",0.6099684851420176
0,08 Delfstoffenwinning (geen olie en gas),1031 Aardappelproductenindustrie,0.3765168239046019
0,08 Delfstoffenwinning (geen olie en gas),1032 Fruit- en groentesappenindustrie,0.7105184732226365
0,08 Delfstoffenwinning (geen olie en gas),"1039 Groente-,fruitverwerkende industrie",0.711738195798057
0,08 Delfstoffenwinning (geen olie en gas),104 Spijsoliën- en -vettenindustrie e.d.,0.8092343681922319
0,08 Delfstoffenwinning (geen olie en gas),1041 Spijsoliën- en -vettenindustrie,0.8061521652377935
0,08 Delfstoffenwinning (geen olie en gas),105 Zuivelindustrie,0.6401651519720667
0,08 Delfstoffenwinning (geen olie en gas),1051 Zuivelindustrie (geen ijs),0.6393441560735503
0,08 Delfstoffenwinning (geen olie en gas),106 Meelindustrie,0.8758930164753814
0,08 Delfstoffenwinning (geen olie en gas),1061 Meelindustrie (geen zetmeel),0.7712884527336983
0,08 Delfstoffenwinning (geen olie en gas),107 Brood- en deegwarenindustrie,0.656079995605123
0,08 Delfstoffenwinning (geen olie en gas),1071 Brood- en banketbakkerijen,0.6413356704468174
0,08 Delfstoffenwinning (geen olie en gas),108 Overige voedingsmiddelenindustrie,0.6577473678531836
