,B1,B2,corr
0,B Delfstoffenwinning,B Delfstoffenwinning,1.0
0,B Delfstoffenwinning,C Industrie,0.9443362383433963
0,B Delfstoffenwinning,"10-12 Voedings-, genotmiddelenindustrie",0.5287713056225958
0,B Delfstoffenwinning,13 Textielindustrie,0.7440049933809654
0,B Delfstoffenwinning,16+23 Hout- en bouwmaterialenindustrie,0.42582257810105706
0,B Delfstoffenwinning,17-18 Papier- en grafische industrie,0.627681715609197
0,B Delfstoffenwinning,19-22 Raffinaderijen en chemie,0.787586947782049
0,B Delfstoffenwinning,"24-30, 33 Metalektro",0.5294431165040052
0,B Delfstoffenwinning,31 Meubelindustrie,0.76489141047557
0,B Delfstoffenwinning,32 Overige industrie,0.33599190578367716
0,B Delfstoffenwinning,D Energievoorziening,0.8308042788730645
0,B Delfstoffenwinning,E Waterbedrijven en afvalbeheer,0.6498845175882566
0,C Industrie,B Delfstoffenwinning,0.9443362383433964
0,C Industrie,C Industrie,1.0
0,C Industrie,"10-12 Voedings-, genotmiddelenindustrie",0.8725360722017413
0,C Industrie,13 Textielindustrie,0.8901716956525535
0,C Industrie,16+23 Hout- en bouwmaterialenindustrie,0.6923205866808578
0,C Industrie,17-18 Papier- en grafische industrie,0.36455607041747845
0,C Industrie,19-22 Raffinaderijen en chemie,0.9434533105968395
0,C Industrie,"24-30, 33 Metalektro",0.7916443598431975
0,C Industrie,31 Meubelindustrie,0.8960516303682847
0,C Industrie,32 Overige industrie,0.5328437333701072
0,C Industrie,D Energievoorziening,0.6626294043196586
0,C Industrie,E Waterbedrijven en afvalbeheer,0.7077331914277917
0,"10-12 Voedings-, genotmiddelenindustrie",B Delfstoffenwinning,0.5287713056225958
0,"10-12 Voedings-, genotmiddelenindustrie",C Industrie,0.8725360722017413
0,"10-12 Voedings-, genotmiddelenindustrie","10-12 Voedings-, genotmiddelenindustrie",1.0
0,"10-12 Voedings-, genotmiddelenindustrie",13 Textielindustrie,0.9316460189662306
0,"10-12 Voedings-, genotmiddelenindustrie",16+23 Hout- en bouwmaterialenindustrie,0.9132920322441496
0,"10-12 Voedings-, genotmiddelenindustrie",17-18 Papier- en grafische industrie,0.01566830188709275
0,"10-12 Voedings-, genotmiddelenindustrie",19-22 Raffinaderijen en chemie,0.6644058683871866
0,"10-12 Voedings-, genotmiddelenindustrie","24-30, 33 Metalektro",0.9389685844928134
0,"10-12 Voedings-, genotmiddelenindustrie",31 Meubelindustrie,0.9144168561141581
0,"10-12 Voedings-, genotmiddelenindustrie",32 Overige industrie,0.8071987513150154
0,"10-12 Voedings-, genotmiddelenindustrie",D Energievoorziening,0.002024660140409257
0,"10-12 Voedings-, genotmiddelenindustrie",E Waterbedrijven en afvalbeheer,-0.8401511512796989
0,13 Textielindustrie,B Delfstoffenwinning,0.7440049933809654
0,13 Textielindustrie,C Industrie,0.8901716956525534
0,13 Textielindustrie,"10-12 Voedings-, genotmiddelenindustrie",0.9316460189662307
0,13 Textielindustrie,13 Textielindustrie,1.0
0,13 Textielindustrie,16+23 Hout- en bouwmaterialenindustrie,0.8857389833470817
0,13 Textielindustrie,17-18 Papier- en grafische industrie,-0.22298820830436947
0,13 Textielindustrie,19-22 Raffinaderijen en chemie,0.4430933539255605
0,13 Textielindustrie,"24-30, 33 Metalektro",0.9129146816396276
0,13 Textielindustrie,31 Meubelindustrie,0.9584369772728986
0,13 Textielindustrie,32 Overige industrie,0.7496971878851585
0,13 Textielindustrie,D Energievoorziening,0.34645857808364516
0,13 Textielindustrie,E Waterbedrijven en afvalbeheer,0.6617123560664775
0,16+23 Hout- en bouwmaterialenindustrie,B Delfstoffenwinning,0.42582257810105706
0,16+23 Hout- en bouwmaterialenindustrie,C Industrie,0.6923205866808578
0,16+23 Hout- en bouwmaterialenindustrie,"10-12 Voedings-, genotmiddelenindustrie",0.9132920322441496
0,16+23 Hout- en bouwmaterialenindustrie,13 Textielindustrie,0.8857389833470817
0,16+23 Hout- en bouwmaterialenindustrie,16+23 Hout- en bouwmaterialenindustrie,0.9999999999999999
0,16+23 Hout- en bouwmaterialenindustrie,17-18 Papier- en grafische industrie,-0.07249126134708495
0,16+23 Hout- en bouwmaterialenindustrie,19-22 Raffinaderijen en chemie,0.42995293770878323
