,B1,B2,corr
0,B Delfstoffenwinning,B Delfstoffenwinning,1.0
0,B Delfstoffenwinning,06 Winning van aardolie en aardgas,0.9952950868645846
0,B Delfstoffenwinning,08 Delfstoffenwinning (geen olie en gas),0.6430616726067782
0,B Delfstoffenwinning,C Industrie,0.6969938444407943
0,B Delfstoffenwinning,10 Voedingsmiddelenindustrie,-0.108512406534734
0,B Delfstoffenwinning,"10-12 Voedings-, genotmiddelenindustrie",-0.05921171849519585
0,B Delfstoffenwinning,101 Slachterijen en vleeswarenindustrie,0.061107313364783006
0,B Delfstoffenwinning,1011 Slachterijen (geen pluimvee),0.10745156464078325
0,B Delfstoffenwinning,1012 Pluimveeslachterijen,-0.1178357414365782
0,B Delfstoffenwinning,1013 Vleesverwerkende industrie,-0.17622449991246178
0,B Delfstoffenwinning,102 Visverwerkende industrie,-0.7411965212431313
0,B Delfstoffenwinning,"103 Groente-, fruitverwerkende industrie",-0.33157818343628387
0,B Delfstoffenwinning,1031 Aardappelproductenindustrie,-0.22526316596280713
0,B Delfstoffenwinning,1032 Fruit- en groentesappenindustrie,0.037063247797879735
0,B Delfstoffenwinning,"1039 Groente-,fruitverwerkende industrie",-0.6676118806329587
0,B Delfstoffenwinning,104 Spijsoliën- en -vettenindustrie e.d.,0.23711549620994285
0,B Delfstoffenwinning,1041 Spijsoliën- en -vettenindustrie,0.2529906408509159
0,B Delfstoffenwinning,105 Zuivelindustrie,0.1296377496978951
0,B Delfstoffenwinning,1051 Zuivelindustrie (geen ijs),0.13248683528923574
0,B Delfstoffenwinning,106 Meelindustrie,0.46070704676259366
0,B Delfstoffenwinning,1061 Meelindustrie (geen zetmeel),0.37926261969349584
0,B Delfstoffenwinning,107 Brood- en deegwarenindustrie,-0.7876201397624336
0,B Delfstoffenwinning,1071 Brood- en banketbakkerijen,-0.8087480107384639
0,B Delfstoffenwinning,108 Overige voedingsmiddelenindustrie,-0.6398214426115508
0,B Delfstoffenwinning,1081 Suikerindustrie,0.0
0,B Delfstoffenwinning,1082 Cacao- en chocoladewerkindustrie,-0.6265996680157516
0,B Delfstoffenwinning,109 Diervoederindustrie,0.33333946858757846
